date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:31	31458/31458	---M-Z	200	added ('OK')	application/javascript	etag:%227ae2-5549888f953bd-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery.timepicker.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/jquery.timepicker096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:32	572/572	---M-Z	200	added ('OK')	application/javascript	etag:%2223c-5549887a9c1c8-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/functions.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/functions096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:32	2734/2734	---M-Z	200	added ('OK')	application/javascript	etag:%22aae-554988943e96d-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/validations.js?p29ze5	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/js/validations096b.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:32	3097/3097	---M--	200	added ('OK')	image/png	etag:%22c19-56359ed57badf%22	https://www.co-opbank.co.ke/campaigns/sites/default/files/Download.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/default/files/Download.png	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:33	67832/67832	---M--	200	added ('OK')	image/jpeg	etag:%22108f8-56359f389d7f4%22	https://www.co-opbank.co.ke/campaigns/sites/default/files/Mama-Mboga.jpg	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/default/files/Mama-Mboga.jpg	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:34	10099/10099	---M-Z	200	added ('OK')	text/css	etag:%222773-55e64b67e49b3-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/tradefinance.css	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/tradefinance.css	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:34	10696/10696	---M-Z	200	added ('OK')	text/css	etag:%2229c8-557812623a5f9-gzip%22	https://www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/main.css	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/all/themes/coop-forms/css/main.css	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:34	55170/55170	---M--	200	added ('OK')	image/jpeg	etag:%22d782-56359fc7547eb%22	https://www.co-opbank.co.ke/campaigns/sites/default/files/Warehouse-Boss.jpg	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/default/files/Warehouse-Boss.jpg	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:35	162711/162711	---M--	200	added ('OK')	image/png	etag:%2227b97-56359fa854fb7%22	https://www.co-opbank.co.ke/campaigns/sites/default/files/Fundi.png	C:/My%20Web%20Sites/msme/www.co-opbank.co.ke/campaigns/sites/default/files/Fundi.png	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
16:51:35	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/msme/www.google-analytics.com/analytics.js	(from https://www.co-opbank.co.ke/campaigns/micro-small-medium-enterprises)
